nm0177603,nm0000428,1
nm0801774,nm0000428,1
nm0531962,nm0000122,1
nm0634268,nm0000779,1
nm0696390,nm0000428,1
nm0830769,nm0000779,1
nm0924834,nm0000428,1
nm0035627,nm0000779,1
nm0107756,nm0000122,1
nm0580609,nm0000428,1
nm0629589,nm0000122,1
nm0457045,nm0000122,1
nm0166836,nm0000122,1
nm0551364,nm0000428,1
nm0339974,nm0000428,1
nm0247083,nm0000428,1
nm0160716,nm0000428,1
nm0178004,nm0000122,1
nm1885154,nm0000122,1
nm0851618,nm0000122,1
nm0643048,nm0000122,1
nm0163933,nm0000122,1
nm0329573,nm0000779,1
nm0372492,nm0000428,1
nm0888396,nm0000122,1
nm0606470,nm0000428,1
nm0532072,nm0000122,1
nm0227021,nm0000779,1
nm0422135,nm0000122,1
nm0369058,nm0000122,1
nm0103619,nm0000122,1
nm1387392,nm0000779,1
nm0420232,nm0000428,1
nm0177598,nm0000122,1
nm0336471,nm0000428,1
nm0101135,nm0000779,1
nm0551365,nm0000428,1
nm0713748,nm0000428,1
nm3294522,nm0000122,1
nm0026387,nm0000428,1
nm0550555,nm0000779,1
nm0117131,nm0000122,1
nm0048408,nm0000122,1
nm0751510,nm0000428,1
nm0414345,nm0000122,1
nm0222367,nm0000122,1
nm7650738,nm0000428,1
nm0226992,nm0000122,1
nm1379916,nm0000779,1
nm1832937,nm0000122,1
nm0242512,nm0000122,1
nm0110752,nm0000122,1
nm0420237,nm0000428,1
nm0689444,nm0000779,1
nm0267638,nm0000122,1
nm0398241,nm0000428,1
nm0185219,nm0000122,1
nm1726969,nm0000779,1
nm0705627,nm0000428,1
nm0717578,nm0000779,1
nm0230778,nm0000122,1
nm0646117,nm0000122,1
nm0465957,nm0000122,1
nm0341442,nm0000779,1
nm0171035,nm0000779,1
nm0611804,nm0000428,1
nm0908784,nm0000779,1
nm0269572,nm0000122,1
nm1387764,nm0000779,1
nm0624714,nm0000428,1
nm0237597,nm0000779,1
nm0856593,nm0000122,1
nm0303780,nm0000122,1
nm0944028,nm0000428,1
nm0764346,nm0000122,1
nm0157484,nm0000428,1
nm0116569,nm0000428,1
nm0631438,nm0000122,1
nm0150389,nm0000428,1
nm0484143,nm0000122,1
nm0914558,nm0000122,1
nm0601698,nm0000122,1
nm0603875,nm0000428,1
nm0098376,nm0000122,1
nm0263075,nm0000428,1
nm0587829,nm0000122,1
nm0911699,nm0000122,1
nm0002118,nm0000428,1
nm0887714,nm0000779,1
nm0568591,nm0000428,1
nm0220558,nm0000122,1
nm0701012,nm0000779,1
nm0292433,nm0000122,1
nm0250440,nm0000779,1
nm0045800,nm0000779,1
nm0256556,nm0000428,1
nm0138386,nm0000122,1
nm0807967,nm0000122,1
nm0417168,nm0000779,1
nm0152260,nm0000122,1
nm0570274,nm0000779,1
